source,target,source_belief,target_belief,trust,distrust,source_party,target_party
0,1,-2.004,0.757,0.63492321,0.3375,Democratic,Republican
2,1,-0.629,0.757,0.9232697687,0.1777777778,Democratic,Republican
3,1,-2.282,0.757,0.5780627917,0.3701492537,Democratic,Republican
4,1,-1.815,0.757,0.9142674042,0.2636363636,Democratic,Republican
5,1,-1.676,0.757,0.7537000511,0.2449491447,Democratic,Republican
6,1,-2.078,0.757,0.8314908309,0.2911067194,Democratic,Republican
7,1,-2.402,0.757,0.751231223,0.3333333333,Democratic,Republican
8,1,1.374,0.757,0.6821574826,0.04615384615,Republican,Republican
9,1,1.132,0.757,0.8981414932,0.05833333333,Republican,Republican
10,1,-0.85,0.757,0.9247861967,0.1671232877,Democratic,Republican
11,1,1.297,0.757,0.9421975311,0.02857142857,Republican,Republican
12,1,-1.649,0.757,0.9389101067,0.2571428571,Democratic,Republican
13,1,-1.769,0.757,0.8817705488,0.226566416,Democratic,Republican
14,1,-0.508,0.757,0.9047317328,0.1833333333,Democratic,Republican
15,1,-1.798,0.757,0.9002165301,0.2888888889,Democratic,Republican
16,1,-2.906,0.757,0.8970172555,0.2571428571,Democratic,Republican
17,1,1.257,0.757,0.9121122147,0.08277019903,Republican,Republican
18,1,-0.415,0.757,0.8730089986,0.1678571429,Democratic,Republican
19,1,-1.719,0.757,0.8197159501,0.2571428571,Democratic,Republican
20,1,-1.438,0.757,0.9319084228,0.1777777778,Democratic,Republican
21,1,-1.54,0.757,0.912229681,0.1873820169,Democratic,Republican
22,1,-0.908,0.757,0.9343820584,0.1777777778,Democratic,Republican
23,1,-1.921,0.757,0.8250777563,0.2524590164,Democratic,Republican
24,1,-1.931,0.757,0.9077557928,0.2648648649,Democratic,Republican
25,1,-1.078,0.757,0.8794204565,0.2333333333,Democratic,Republican
26,1,-1.78,0.757,0.7513519942,0.2709887138,Democratic,Republican
27,1,1.337,0.757,0.8543375812,0.2363636364,Republican,Republican
28,1,1.032,0.757,0.9502476553,0.1,Republican,Republican
29,1,1.548,0.757,0.9186941993,0.01304347826,Republican,Republican
30,1,0.817,0.757,0.9177568761,0.07058823529,Republican,Republican
31,32,-0.71,0.984,0.2556264675,0.571969697,Democratic,Republican
33,32,0.911,0.984,0.9109210083,0.04296589079,Republican,Republican
